type	latitude	longitude	name
W	37.3371389	-121.8799411	461
W	37.3372072637	-121.879855481	462
W	37.3371389	-121.8799411	463
W	37.3372072637	-121.879855481	464
W	37.3371389	-121.8799411	465
W	37.3372072637	-121.879855481	466
W	37.3371389	-121.8799411	467
W	37.3372072637	-121.879855481	468
W	37.3371389	-121.8799411	469
W	37.3372072637	-121.879855481	470
W	37.3371389	-121.8799411	471
W	37.3372072637	-121.879855481	472
W	37.3371389	-121.8799411	473
W	37.3372072637	-121.879855481	474
W	37.3371389	-121.8799411	475
W	37.3372072637	-121.879855481	476
W	37.3371389	-121.8799411	477
W	37.3372072637	-121.879855481	478
W	37.3371389	-121.8799411	479
W	37.3372072637	-121.879855481	480
W	37.3371389	-121.8799411	481
W	37.3372072637	-121.879855481	482
W	37.3371389	-121.8799411	483
W	37.3372072637	-121.879855481	484
W	37.3371389	-121.8799411	485
W	37.3372072637	-121.879855481	486
W	37.3371389	-121.8799411	487
W	37.3372072637	-121.879855481	488
W	37.3371389	-121.8799411	489
W	37.3372072637	-121.879855481	490
W	37.3371389	-121.8799411	491
W	37.3372072637	-121.879855481	492
W	37.3371389	-121.8799411	493
W	37.3372072637	-121.879855481	494
W	37.3371389	-121.8799411	495
W	37.3372072637	-121.879855481	496
W	37.3371389	-121.8799411	497
W	37.3372072637	-121.879855481	498
W	37.3371389	-121.8799411	499
W	37.3372072637	-121.879855481	500
W	37.3371389	-121.8799411	501
W	37.3372072637	-121.879855481	502
W	37.3371389	-121.8799411	503
W	37.3372072637	-121.879855481	504
W	37.3371389	-121.8799411	505
W	37.3372072637	-121.879855481	506
W	37.3371389	-121.8799411	507
W	37.3372072637	-121.879855481	508
W	37.3371389	-121.8799411	509
W	37.3372072637	-121.879855481	510
W	37.3371389	-121.8799411	511
W	37.3372072637	-121.879855481	512
W	37.3371389	-121.8799411	513
W	37.3372072637	-121.879855481	514
W	37.3371389	-121.8799411	515
W	37.3372072637	-121.879855481	516
W	37.3371389	-121.8799411	517
W	37.3372072637	-121.879855481	518
W	37.3371389	-121.8799411	519
W	37.3372072637	-121.879855481	520
W	37.3371389	-121.8799411	521
W	37.3372072637	-121.879855481	522
W	37.3371389	-121.8799411	523
W	37.3372072637	-121.879855481	524
W	37.3371389	-121.8799411	525
W	37.3372072637	-121.879855481	526
W	37.3371389	-121.8799411	527
W	37.3372072637	-121.879855481	528
W	37.3371389	-121.8799411	529
W	37.3372072637	-121.879855481	530
W	37.3371389	-121.8799411	531
W	37.3372072637	-121.879855481	532
W	37.3371389	-121.8799411	533
W	37.3372072637	-121.879855481	534
W	37.3371389	-121.8799411	535
W	37.3372072637	-121.879855481	536
W	37.3371389	-121.8799411	537
W	37.3372072637	-121.879855481	538
W	37.3371389	-121.8799411	539
W	37.3372072637	-121.879855481	540
W	37.3371389	-121.8799411	541
W	37.3372072637	-121.879855481	542
W	37.3371389	-121.8799411	543
W	37.3372072637	-121.879855481	544
W	37.3371389	-121.8799411	545
W	37.3372072637	-121.879855481	546
W	37.3371389	-121.8799411	547
W	37.3372072637	-121.879855481	548
W	37.3371389	-121.8799411	549
W	37.3372072637	-121.879855481	550
W	37.3371389	-121.8799411	551
W	37.3372072637	-121.879855481	552
W	37.3371389	-121.8799411	553
W	37.3372072637	-121.879855481	554
W	37.3371389	-121.8799411	555
W	37.3372072637	-121.879855481	556
W	37.3371389	-121.8799411	557
W	37.3372072637	-121.879855481	558
W	37.3371389	-121.8799411	559
W	37.3372072637	-121.879855481	560
W	37.3371389	-121.8799411	561
W	37.3372072637	-121.879855481	562
W	37.3371389	-121.8799411	563
W	37.3372072637	-121.879855481	564
W	37.3371389	-121.8799411	565
W	37.3372072637	-121.879855481	566
W	37.3371389	-121.8799411	567
W	37.3372072637	-121.879855481	568
W	37.3371389	-121.8799411	569
W	37.3372072637	-121.879855481	570
W	37.3371389	-121.8799411	571
W	37.3372072637	-121.879855481	572
W	37.3371389	-121.8799411	573
W	37.3372072637	-121.879855481	574
W	37.3371389	-121.8799411	575
W	37.3372072637	-121.879855481	576
W	37.3371389	-121.8799411	577
W	37.3372072637	-121.879855481	578
W	37.3371389	-121.8799411	579
W	37.3372072637	-121.879855481	580
W	37.3371389	-121.8799411	581
W	37.3372072637	-121.879855481	582
W	37.3371389	-121.8799411	583
W	37.3372072637	-121.879855481	584
W	37.3371389	-121.8799411	585
W	37.3372072637	-121.879855481	586
W	37.3371389	-121.8799411	587
W	37.3372072637	-121.879855481	588
W	37.3371389	-121.8799411	589
W	37.3372072637	-121.879855481	590
W	37.3371389	-121.8799411	591
W	37.3372072637	-121.879855481	592
W	37.3371389	-121.8799411	593
W	37.3372072637	-121.879855481	594
W	37.3371389	-121.8799411	595
W	37.3372072637	-121.879855481	596
W	37.3371389	-121.8799411	597
W	37.3372072637	-121.879855481	598
W	37.3371389	-121.8799411	599
W	37.3372072637	-121.879855481	600
W	37.3371389	-121.8799411	601
W	37.3372072637	-121.879855481	602
W	37.3371389	-121.8799411	603
W	37.3372072637	-121.879855481	604
W	37.3371389	-121.8799411	605
W	37.3372072637	-121.879855481	606
W	37.3371389	-121.8799411	607
W	37.3372072637	-121.879855481	608
W	37.3371389	-121.8799411	609
W	37.3372072637	-121.879855481	610
W	37.3371389	-121.8799411	611
W	37.3372072637	-121.879855481	612
W	37.3371389	-121.8799411	613
W	37.3372072637	-121.879855481	614
W	37.3371389	-121.8799411	615
W	37.3372072637	-121.879855481	616
W	37.3371389	-121.8799411	617
W	37.3372072637	-121.879855481	618
W	37.3371389	-121.8799411	619
W	37.3372072637	-121.879855481	620
W	37.3371389	-121.8799411	621
W	37.3372072637	-121.879855481	622
